name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 7,,2014-06-18,16:00,Spain,ESP,Chile,CHI,,,,,,,,,,,,,,,,,Charles Aránguiz,43,,0,2,,,Group B,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Matchday 7,20,2014-06-18,13:00,Australia,AUS,Netherlands,NED,2,3,null,null,,,,,,Tim Cahill,21,,1,1,,,Arjen Robben,20,,0,1,,,Group B,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 7,,2014-06-18,13:00,Australia,AUS,Netherlands,NED,,,,,,,,,,Mile Jedinak,54,,2,1,,True,Robin Van Persie,58,,2,2,,,Group B,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 7,,2014-06-18,13:00,Australia,AUS,Netherlands,NED,,,,,,,,,,,,,,,,,Memphis Depay,68,,2,3,,,Group B,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 8,21,2014-06-19,13:00,Colombia,COL,Côte d'Ivoire,CIV,2,1,null,null,,,,,,James Rodríguez,64,,1,0,,,Gervinho,73,,2,1,,,Group C,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 8,,2014-06-19,13:00,Colombia,COL,Côte d'Ivoire,CIV,,,,,,,,,,Juan Quintero,70,,2,0,,,,,,,,,,Group C,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 8,22,2014-06-19,19:00,Japan,JPN,Greece,GRE,0,0,null,null,,,,,,,,,,,,,,,,,,,,Group C,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 8,23,2014-06-19,16:00,Uruguay,URU,England,ENG,2,1,null,null,,,,,,Luis Suárez,39,,1,0,,,Wayne Rooney,75,,1,1,,,Group D,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 8,,2014-06-19,16:00,Uruguay,URU,England,ENG,,,,,,,,,,Luis Suárez,85,,2,1,,,,,,,,,,Group D,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 9,24,2014-06-20,13:00,Italy,ITA,Costa Rica,CRC,0,1,null,null,,,,,,,,,,,,,Bryan Ruiz,44,,0,1,,,Group D,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Matchday 9,25,2014-06-20,16:00,Switzerland,SUI,France,FRA,2,5,null,null,,,,,,Blerim Džemaili,81,,1,5,,,Olivier Giroud,17,,0,1,,,Group E,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 9,,2014-06-20,16:00,Switzerland,SUI,France,FRA,,,,,,,,,,Granit Xhaka,87,,2,5,,,Blaise Matuidi,18,,0,2,,,Group E,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 9,,2014-06-20,16:00,Switzerland,SUI,France,FRA,,,,,,,,,,,,,,,,,Mathieu Valbuena,40,,0,3,,,Group E,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 9,,2014-06-20,16:00,Switzerland,SUI,France,FRA,,,,,,,,,,,,,,,,,Karim Benzema,67,,0,4,,,Group E,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 9,,2014-06-20,16:00,Switzerland,SUI,France,FRA,,,,,,,,,,,,,,,,,Moussa Sissoko,73,,0,5,,,Group E,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 9,26,2014-06-20,19:00,Honduras,HON,Ecuador,ECU,1,2,null,null,,,,,,Carlo Costly,31,,1,0,,,Enner Valencia,34,,1,1,,,Group E,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 9,,2014-06-20,19:00,Honduras,HON,Ecuador,ECU,,,,,,,,,,,,,,,,,Enner Valencia,65,,1,2,,,Group E,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 10,27,2014-06-21,13:00,Argentina,ARG,Iran,IRN,1,0,null,null,,,,,,Lionel Messi,90,,1,0,,,,,,,,,,Group F,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Matchday 10,28,2014-06-21,18:00,Nigeria,NGA,Bosnia-Herzegovina,BIH,1,0,null,null,,,,,,Peter Odemwingie,29,,1,0,,,,,,,,,,Group F,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 10,29,2014-06-21,16:00,Germany,GER,Ghana,GHA,2,2,null,null,,,,,,Mario Götze,51,,1,0,,,André Ayew,54,,1,1,,,Group G,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Matchday 10,,2014-06-21,16:00,Germany,GER,Ghana,GHA,,,,,,,,,,Miroslav Klose,71,,2,2,,,Asamoah Gyan,63,,1,2,,,Group G,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Matchday 11,30,2014-06-22,18:00,United States,USA,Portugal,POR,2,2,null,null,,,,,,Jermaine Jones,64,,1,1,,,Nani,5,,0,1,,,Group G,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 11,,2014-06-22,18:00,United States,USA,Portugal,POR,,,,,,,,,,Clint Dempsey,81,,2,1,,,Varela,90,5,2,2,,,Group G,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 11,31,2014-06-22,13:00,Belgium,BEL,Russia,RUS,1,0,null,null,,,,,,Divock Origi,88,,1,0,,,,,,,,,,Group H,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Matchday 11,32,2014-06-22,16:00,South Korea,KOR,Algeria,ALG,2,4,null,null,,,,,,Son Heung Min,50,,1,3,,,Islam Slimani,26,,0,1,,,Group H,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 11,,2014-06-22,16:00,South Korea,KOR,Algeria,ALG,,,,,,,,,,Koo Jacheol,72,,2,4,,,Rafik Halliche,28,,0,2,,,Group H,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 11,,2014-06-22,16:00,South Korea,KOR,Algeria,ALG,,,,,,,,,,,,,,,,,Abdelmoumene Djabou,38,,0,3,,,Group H,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 11,,2014-06-22,16:00,South Korea,KOR,Algeria,ALG,,,,,,,,,,,,,,,,,Yacine Brahimi,62,,1,4,,,Group H,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
